dataset,method,classifier,fold,kfold,fmin,gmin,max_size,svc_C,pattern_type,closed_multiset,accuracy,pattern_number,extraction_time,time
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,100,relevant,False,0.5632183908045977,43,172.13006938398757,175.39022415399086
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,1000,relevant,False,0.6206896551724138,43,172.13006938398757,175.39197492400126
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,0.001,relevant,False,0.367816091954023,40,54.466745791985886,60.10078002301452
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,0.01,relevant,False,0.367816091954023,40,54.466745791985886,60.09884514698933
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,0.1,relevant,False,0.367816091954023,40,54.466745791985886,60.09944387200812
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,1,relevant,False,0.6436781609195402,40,54.466745791985886,60.09245414900943
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,10,relevant,False,0.6551724137931034,40,54.466745791985886,60.092859152005985
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,100,relevant,False,0.6666666666666666,40,54.466745791985886,60.094985745003214
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,1000,relevant,False,0.6436781609195402,40,54.466745791985886,60.09702285499952
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,0.001,relevant,False,0.367816091954023,49,89.07448889699299,92.68269124998187
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,0.01,relevant,False,0.367816091954023,49,89.07448889699299,92.68245468600071
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,0.1,relevant,False,0.367816091954023,49,89.07448889699299,92.68234322300123
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,1,relevant,False,0.5747126436781609,49,89.07448889699299,92.68067407298076
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,10,relevant,False,0.5977011494252874,49,89.07448889699299,92.6775506039994
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,100,relevant,False,0.6091954022988506,49,89.07448889699299,92.67768342798809
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,1000,relevant,False,0.5977011494252874,49,89.07448889699299,92.67889541799377
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,0.001,relevant,True,0.367816091954023,25,13.599875126979896,15.394476832007058
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,0.01,relevant,True,0.367816091954023,25,13.599875126979896,15.394563950016163
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,0.1,relevant,True,0.4367816091954023,25,13.599875126979896,15.395234442999936
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,1,relevant,True,0.6666666666666666,25,13.599875126979896,15.393656169995666
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,10,relevant,True,0.6551724137931034,25,13.599875126979896,15.392345721003949
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,100,relevant,True,0.6666666666666666,25,13.599875126979896,15.392458908012486
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,1000,relevant,True,0.6436781609195402,25,13.599875126979896,15.395316174995969
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,0.001,relevant,True,0.367816091954023,27,12.705386838992126,14.89667923199886
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,0.01,relevant,True,0.367816091954023,27,12.705386838992126,14.896737314993516
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,0.1,relevant,True,0.4482758620689655,27,12.705386838992126,14.897641286996077
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,1,relevant,True,0.6091954022988506,27,12.705386838992126,14.896327754991944
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,10,relevant,True,0.6206896551724138,27,12.705386838992126,14.89756633999059
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,100,relevant,True,0.632183908045977,27,12.705386838992126,14.898804100987036
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,1000,relevant,True,0.6206896551724138,27,12.705386838992126,14.90236894399277
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,0.001,relevant,True,0.367816091954023,22,15.508193616973585,17.242434364001383
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,0.01,relevant,True,0.367816091954023,22,15.508193616973585,17.243300857007853
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,0.1,relevant,True,0.367816091954023,22,15.508193616973585,17.245195234005223
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,1,relevant,True,0.6666666666666666,22,15.508193616973585,17.241837192996172
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,10,relevant,True,0.6436781609195402,22,15.508193616973585,17.243351362005342
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,100,relevant,True,0.6551724137931034,22,15.508193616973585,17.24347709400172
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,1000,relevant,True,0.6551724137931034,22,15.508193616973585,17.244060021010228
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,0.001,relevant,True,0.367816091954023,37,16.260020396031905,18.711392038007034
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,0.01,relevant,True,0.367816091954023,37,16.260020396031905,18.71130927899503
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,0.1,relevant,True,0.367816091954023,37,16.260020396031905,18.71127599698957
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,1,relevant,True,0.5747126436781609,37,16.260020396031905,18.71029822199489
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,10,relevant,True,0.5747126436781609,37,16.260020396031905,18.707268471989664
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,100,relevant,True,0.5977011494252874,37,16.260020396031905,18.710336638003355
asl-bu,occurrence,SVC,3,5,0.6,1.0,0,1000,relevant,True,0.5862068965517241,37,16.260020396031905,18.71133650300908
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,0.001,relevant,True,0.367816091954023,31,14.02866509098385,16.115859269018983
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,0.01,relevant,True,0.367816091954023,31,14.02866509098385,16.116785305013764
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,0.1,relevant,True,0.367816091954023,31,14.02866509098385,16.116702870014706
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,1,relevant,True,0.5862068965517241,31,14.02866509098385,16.115387042009388
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,10,relevant,True,0.6551724137931034,31,14.02866509098385,16.113278198012267
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,100,relevant,True,0.6551724137931034,31,14.02866509098385,16.11386075001792
asl-bu,occurrence,SVC,4,5,0.6,1.0,0,1000,relevant,True,0.632183908045977,31,14.02866509098385,16.11548817102448
